name|coordinates|type|floor
Alba Nova|https://www.google.com/maps/place/59.35393306147455,18.057654294803914|Building|None
Borggården|https://www.google.com/maps/place/59.347440398196156, 18.073700575072493|Park|None
Konsulatet|https://www.google.com/maps/place/59.35401133947272, 18.065744720668313|Building|None
KTH Fika|https://www.google.com/maps/place/59.3507754052715,18.07262625584044|Building|None
KTH Innovation|https://www.google.com/maps/place/59.34954477837176,18.07164993175353|Building|None
Maskinparken|https://www.google.com/maps/place/59.35259456957022, 18.065176878135656|Park|None
Nymble|https://www.google.com/maps/place/59.34732300666585,18.070874156793714|Building|None
Triangelparken|https://www.google.com/maps/place/59.3495189493485,18.069686810823743|Park|None
Butter|https://www.google.com/maps/place/59.35338034344207,18.065376926562575|Computer|4
Kloker|https://www.google.com/maps/place/59.35338034344207,18.065376926562575|Computer|4
Prosit|https://www.google.com/maps/place/59.35338034344207,18.065376926562575|Computer|4
Toker|https://www.google.com/maps/place/59.35338034344207,18.065376926562575|Computer|4
Trötter|https://www.google.com/maps/place/59.35338034344207,18.065376926562575|Computer|4
Brun|https://www.google.com/maps/place/59.35338034344207,18.065376926562575|Computer|4
Grön|https://www.google.com/maps/place/59.34704027500101,18.072885775270187|Computer|4
Grå|https://www.google.com/maps/place/59.34704027500101,18.072885775270187|Computer|4
Gul|https://www.google.com/maps/place/59.34704027500101,18.072885775270187|Computer|5
Karmosin|https://www.google.com/maps/place/59.34704027500101,18.072885775270187|Computer|5
Magenta|https://www.google.com/maps/place/59.34704027500101,18.072885775270187|Computer|5
Orange|https://www.google.com/maps/place/59.34704027500101,18.072885775270187|Computer|4
Röd|https://www.google.com/maps/place/59.34704027500101,18.072885775270187|Computer|4
Turkos|https://www.google.com/maps/place/59.34704027500101,18.072885775270187|Computer|5
Violett|https://www.google.com/maps/place/59.34704027500101,18.072885775270187|Computer|5
Vit|https://www.google.com/maps/place/59.34704027500101,18.072885775270187|Computer|5
Baltzar|https://www.google.com/maps/place/59.35110174493043,18.071114815207327|Computer|4
Christopher|https://www.google.com/maps/place/59.35110174493043,18.071114815207327|Computer|4
Nils|https://www.google.com/maps/place/59.35110174493043,18.071114815207327|Computer|4
