Name|Coordinates|Type|Info
B|https://www.google.com/maps/place/59.35151479446071,18.068663853571927|Building|None
B1|https://www.google.com/maps/place/59.35151479446071,18.068663853571927|Lecture|2
B2|https://www.google.com/maps/place/59.35151479446071,18.068663853571927|Lecture|2
B3|https://www.google.com/maps/place/59.35151479446071,18.068663853571927|Lecture|2
B21|https://www.google.com/maps/place/59.35151479446071,18.068663853571927|Training|3
B22|https://www.google.com/maps/place/59.35151479446071,18.068663853571927|Training|3
B23|https://www.google.com/maps/place/59.35151479446071,18.068663853571927|Training|3
B24|https://www.google.com/maps/place/59.35151479446071,18.068663853571927|Training|3
B25|https://www.google.com/maps/place/59.35151479446071,18.068663853571927|Training|3
B26|https://www.google.com/maps/place/59.35151479446071,18.068663853571927|Training|3
D|https://www.google.com/maps/place/59.346842984153625,18.073876046419205|Building|None
D1|https://www.google.com/maps/place/59.346842984153625,18.073876046419205|Lecture|6
D2|https://www.google.com/maps/place/59.346842984153625,18.073876046419205|Lecture|3
D3|https://www.google.com/maps/place/59.346842984153625,18.073876046419205|lecture|3
D31|https://www.google.com/maps/place/59.346842984153625,18.073876046419205|Training|3
D32|https://www.google.com/maps/place/59.346842984153625,18.073876046419205|Training|3
D33|https://www.google.com/maps/place/59.346842984153625,18.073876046419205|Training|3
D34|https://www.google.com/maps/place/59.346842984153625,18.073876046419205|Training|3
D35|https://www.google.com/maps/place/59.346842984153625,18.073876046419205|Training|3
D36|https://www.google.com/maps/place/59.346842984153625,18.073876046419205|Training|3
D37|https://www.google.com/maps/place/59.346842984153625,18.073876046419205|Training|3
D41|https://www.google.com/maps/place/59.346842984153625,18.073876046419205|Training|4
D42|https://www.google.com/maps/place/59.346842984153625,18.073876046419205|Training|4
E|https://www.google.com/maps/place/59.34704027500101,18.072885775270187|Building|None
E1|https://www.google.com/maps/place/59.34704027500101,18.072885775270187|Building|3
E2|https://www.google.com/maps/place/59.34704027500101,18.072885775270187|Lecture|3
E3|https://www.google.com/maps/place/59.34704027500101,18.072885775270187|Lecture|5
E31|https://www.google.com/maps/place/59.34704027500101,18.072885775270187|Training|3
E32|https://www.google.com/maps/place/59.34704027500101,18.072885775270187|Training|3
E33|https://www.google.com/maps/place/59.34704027500101,18.072885775270187|Training|3
E34|https://www.google.com/maps/place/59.34704027500101,18.072885775270187|Training|3
E35|https://www.google.com/maps/place/59.34704027500101,18.072885775270187|Training|3
E36|https://www.google.com/maps/place/59.34704027500101,18.072885775270187|Training|3
E51|https://www.google.com/maps/place/59.34704027500101,18.072885775270187|Training|5
E52|https://www.google.com/maps/place/59.34704027500101,18.072885775270187|Training|5
