Startdatum,Starttid,Sluttid,Aktivitet,Tillfälleskod/kurskod,Lokal
2023-08-14,14:00,18:00,Omtenta,SF1678,"[U51,(https://www.google.com/maps/place/59.35100405505016,18.07004819394063),5]"
2023-08-15,08:00,13:00,Omtenta,SF1861,"[U41,(https://www.google.com/maps/place/59.35100405505016,18.07004819394063),4],[U51,(https://www.google.com/maps/place/59.35100405505016,18.07004819394063),5]"
2023-08-16,14:00,17:00,Omtenta,SF1691,"[U51,(https://www.google.com/maps/place/59.35100405505016,18.07004819394063),5]"
2023-08-17,08:00,13:00,Omtenta,"SF2521, FSF3567","[U61,(https://www.google.com/maps/place/59.35100405505016,18.07004819394063),6]"
2023-08-17,08:00,13:00,Omtenta,SF2701,"[D34,(https://www.google.com/maps/place/59.346842984153625,18.073876046419205),3],[D35,(https://www.google.com/maps/place/59.346842984153625,18.073876046419205),3]"
2023-08-17,12:00,16:00,Omtenta,DD2352,Digital
2023-08-18,08:00,13:00,Omtenta,SF1677,"[D32,(https://www.google.com/maps/place/59.346842984153625,18.073876046419205),3]"
2023-08-18,08:00,13:00,Omtenta,SF1904,"[D33,(https://www.google.com/maps/place/59.346842984153625,18.073876046419205),3],[D34,(https://www.google.com/maps/place/59.346842984153625,18.073876046419205),3],[D35,(https://www.google.com/maps/place/59.346842984153625,18.073876046419205),3]"
2023-08-21,08:00,12:00,Omtenta,"SK2750, SK2758","[FB52,(https://www.google.com/maps/place/59.35393306147455,18.057654294803914),5]"
2023-08-22,08:00,13:00,Omtenta,EQ1120,"[E51,(https://www.google.com/maps/place/59.34704027500101,18.072885775270187),5]"
2023-08-22,08:00,13:00,Omtenta,"SI2360, SI1142","[FB42,(https://www.google.com/maps/place/59.35393306147455,18.057654294803914),4]"
2023-08-23,08:00,13:00,Omtenta,SH2402,FP21
2023-08-28,09:00,10:00,Information,8XCTFYS,"[V2,(https://www.google.com/maps/place/59.35110174493043,18.071114815207327),5]"
2023-08-28,10:00,12:00,Föreläsning,EL1000,"[M1,(https://www.google.com/maps/place/59.35338034344207,18.065376926562575),2]"
2023-08-28,13:00,15:00,Föreläsning,EI1320,H1
2023-08-28,15:00,17:00,Övning,EI1320,"[Q26,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),2],[Q36,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),3]"
2023-08-29,08:00,10:00,Föreläsning,EI1320,"[W37,(https://www.google.com/maps/place/59.350841141120135,18.070559793099424),3]"
2023-08-29,13:00,15:00,Övning,EI1320,"[M32,(https://www.google.com/maps/place/59.35338034344207,18.065376926562575),3],[M33,(https://www.google.com/maps/place/59.35338034344207,18.065376926562575),3]"
2023-08-29,15:00,17:00,Föreläsning,EL1000,"[Q1,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),3]"
2023-08-29,17:00,19:00,Föreläsning,MH1023,"[D35,(https://www.google.com/maps/place/59.346842984153625,18.073876046419205),3]"
2023-08-30,08:00,10:00,Övning,EL1000,"[Q13,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),1],[Q22,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),2],[Q24,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),2]"
2023-08-30,10:00,12:00,Övning,EL1000,"[D32,(https://www.google.com/maps/place/59.346842984153625,18.073876046419205),3],[D41,(https://www.google.com/maps/place/59.346842984153625,18.073876046419205),4]"
2023-08-30,13:00,15:00,Föreläsning,EI1320,H1
2023-08-31,10:00,12:00,Övning,EI1320,"[Q26,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),2],[Q36,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),3]"
2023-08-31,13:00,17:00,Laboration,EL1000,A:225
2023-08-31,13:00,15:00,Övning,EL1000,"[Q11,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),1],[Q13,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),1]"
2023-08-31,15:00,17:00,Föreläsning,SF2940,"[F2,(https://www.google.com/maps/place/59.348382721980045,18.074164283936792),2]"
2023-09-01,08:00,10:00,Övning,EL1000,"[B21,(https://www.google.com/maps/place/59.35151479446071,18.068663853571927),3],[B22,(https://www.google.com/maps/place/59.35151479446071,18.068663853571927),3],[B23,(https://www.google.com/maps/place/59.35151479446071,18.068663853571927),3]"
2023-09-01,08:00,10:00,Övning,SF2940,"[D32,(https://www.google.com/maps/place/59.346842984153625,18.073876046419205),3],[D34,(https://www.google.com/maps/place/59.346842984153625,18.073876046419205),3],[D41,(https://www.google.com/maps/place/59.346842984153625,18.073876046419205),4],[D42,(https://www.google.com/maps/place/59.346842984153625,18.073876046419205),4],[E31,(https://www.google.com/maps/place/59.34704027500101,18.072885775270187),3],[E33,(https://www.google.com/maps/place/59.34704027500101,18.072885775270187),3]"
2023-09-01,10:00,12:00,Föreläsning,SF2940,"[F1,(https://www.google.com/maps/place/59.348382721980045,18.074164283936792),2]"
2023-09-01,10:00,12:00,Räknestuga,EL1000,"[Q36,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),3]"
2023-09-01,13:00,15:00,Föreläsning,SH1015,"[FD5,(https://www.google.com/maps/place/59.35393306147455,18.057654294803914),5]"
2023-09-01,13:00,17:00,Laboration,EL1000,A:225
2023-09-04,08:00,12:00,Laboration,EL1000,A:225
